# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1954
#@/user_id	813273a1-82f8-48ef-b3a3-b5fbee29d649
a 	啊	c=1 d=1 t=1120
shuang pin 	双拼	c=1 d=1.09753 t=12
shuang pin zhan shi de 	双拼展示的	c=1 d=1 t=8
shuo 	硕	c=1 d=1 t=1481
shuo 	说	c=4 d=1.57231 t=1908
shuo cuo 	说错	c=1 d=1 t=422
shuo ming 	说明	c=1 d=1 t=1810
si yao 	私钥	c=1 d=1 t=361
song de 	送的	c=1 d=1 t=820
song gei 	送给	c=1 d=1 t=1947
sui yi 	随意	c=1 d=1 t=386
suo 	所	c=2 d=1.72979 t=219
suo xu yao 	所需要	c=1 d=1 t=1823
suo yi 	所以	c=2 d=1.99501 t=1590
suo you 	所有	c=4 d=1.2278 t=1788
suo zuo 	所做	c=1 d=1 t=1933
ta 	他	c=2 d=1.07847 t=1932
ta men 	他们	c=9 d=5.16731 t=1920
tai 	台	c=1 d=1 t=1562
tai 	太	c=1 d=1 t=1936
tai man 	太慢	c=1 d=1 t=1303
tai wan 	台湾	c=1 d=1 t=168
tan 	弹	c=1 d=1 t=482
ti jiao le 	提交了	c=2 d=1.90032 t=1897
ti le 	提了	c=1 d=1 t=952
ti shi 	提示	c=4 d=1.02661 t=1916
ti wen 	提问	c=1 d=1 t=1598
ti yi xia 	提一下	c=1 d=1 t=1703
tian 	天	c=1 d=1 t=1953
tian guo 	天国	c=1 d=1 t=1116
tian ru 	填入	c=3 d=1.8258 t=1083
tiao zheng 	调整	c=3 d=1.97054 t=1867
ting dong 	听懂	c=1 d=1 t=1036
ting duo 	挺多	c=1 d=1 t=950
tong 	同	c=1 d=1 t=939
tong 	通	c=1 d=1 t=1209
tong bu 	同步	c=2 d=1.96079 t=124
tong guo 	通过	c=2 d=1.06654 t=783
tong xing zheng 	通行证	c=1 d=1 t=1434
tong yang 	同样	c=1 d=1 t=698
tu biao 	图标	c=3 d=2.30002 t=653
tui chu 	退出	c=2 d=1.23108 t=916
tui jian 	推荐	c=1 d=1 t=1128
tuo ke 	脱壳	c=1 d=1 t=1859
